Labels,Title,State,Date,URL,Author
enhancement,"Add python-mako, python-pyyaml to SDK",closed,2016-11-04,https://github.com/openbmc/openbmc/issues/746,bradbishop
,Witherspoon: inventory definition outdated,open,2016-11-04,https://github.com/openbmc/openbmc/issues/745,adamliyi
,Need update in README from where new images are available (openpower.xyz),open,2016-11-04,https://github.com/openbmc/openbmc/issues/744,sivassrr
,Romulus error message: not found in GPIO config table,closed,2016-11-03,https://github.com/openbmc/openbmc/issues/743,adamliyi
,TFTP code update fails with path,open,2016-11-03,https://github.com/openbmc/openbmc/issues/742,shenki
,Witherspoon: Slow response with 1.99.0-212 driver,closed,2016-11-02,https://github.com/openbmc/openbmc/issues/741,yadlapati
,[Palmetto - v1.99.0-212-gf1c10dd] - Bios update fails on Palmetto with both REST and pflash,closed,2016-11-02,https://github.com/openbmc/openbmc/issues/740,rahulmah
,"[Witherspoon VERSION_ID=""v1.99.0-212-gf1c10dd-dirty"" ] code update succeed but fails with REST Authentication",open,2016-11-02,https://github.com/openbmc/openbmc/issues/739,sivassrr
,OpenBMC- Factory reset & zero config through IPMI is not working,open,2016-11-02,https://github.com/openbmc/openbmc/issues/738,prkatti1
,led: Implement LED dbus interfaces,open,2016-11-01,https://github.com/openbmc/openbmc/issues/737,geissonator
,led: Define dbus interface to interact with LED's,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/736,geissonator
,"[Barreleye VERSION_ID=""v1.99.0-210-g913e81d"" ]  REST Login Session connection Failed",closed,2016-11-01,https://github.com/openbmc/openbmc/issues/735,gkeishin
,Support the callout of a logical entity within an error log (design),open,2016-11-01,https://github.com/openbmc/openbmc/issues/734,geissonator
,Match error log metadata with error log commits,open,2016-11-01,https://github.com/openbmc/openbmc/issues/733,geissonator
,Define and implement dbus API to list and view event logs,open,2016-11-01,https://github.com/openbmc/openbmc/issues/732,geissonator
,Merge dbus interface and error log meta data definition,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/731,geissonator
bug,move mapper to xyz namespace,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/730,bradbishop
enhancement,mapper interface enhancements,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/729,bradbishop
enhancement,define xyz sensors api,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/728,bradbishop
,Use new dbusplus vtable interfaces and move to generated bindings for event log server,open,2016-11-01,https://github.com/openbmc/openbmc/issues/727,geissonator
,xyz inventory manager needs a recipe,open,2016-11-01,https://github.com/openbmc/openbmc/issues/726,bradbishop
,Revise fan control module,open,2016-11-01,https://github.com/openbmc/openbmc/issues/725,adamliyi
,Romulus warnings at boot,open,2016-11-01,https://github.com/openbmc/openbmc/issues/724,shenki
,Run CI images under Aspeed Qemu model,open,2016-11-01,https://github.com/openbmc/openbmc/issues/723,shenki
,fw version: Define dbus interface for fw version interface,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/722,geissonator
,bmc state: Define dbus interface for bmc state functionality,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/721,geissonator
,power on/off: Define dbus interface for power on/off,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/720,geissonator
,rtc: Define dbus interface for rtc,closed,2016-11-01,https://github.com/openbmc/openbmc/issues/719,geissonator
,"[Barrelleye VERSION_ID=""v1.99.0-200-g48d0241""] dev-ttyVUART0.device start timed out.",closed,2016-10-31,https://github.com/openbmc/openbmc/issues/718,gkeishin
Epic,Sprint 16.11.02 - Actual,open,2016-10-31,https://github.com/openbmc/openbmc/issues/717,williamspatrick
Epic,Sprint 16.11.02 - Committed,open,2016-10-31,https://github.com/openbmc/openbmc/issues/716,williamspatrick
,Add support for new SPI device driver to device tree generator script,closed,2016-10-31,https://github.com/openbmc/openbmc/issues/715,spinler
bug,libflash API change,open,2016-10-31,https://github.com/openbmc/openbmc/issues/714,shenki
,pflash/flasher hang blocks boot,closed,2016-10-29,https://github.com/openbmc/openbmc/issues/713,GHF
,Build SDKs on CI infra,open,2016-10-28,https://github.com/openbmc/openbmc/issues/712,amboar
,Palmetto serial console becomes unresponsive,open,2016-10-28,https://github.com/openbmc/openbmc/issues/711,amboar
,"Witherspoon: FSI mux select, gpio326 stuck high in latest code",closed,2016-10-27,https://github.com/openbmc/openbmc/issues/710,yadlapati
,Updating BIOS via REST API wipes out the Boot options (NVRam),open,2016-10-27,https://github.com/openbmc/openbmc/issues/709,williamspatrick
,bitbake host-ipmid-tool  is failing ,closed,2016-10-25,https://github.com/openbmc/openbmc/issues/708,sivassrr
,zeroconfiguration is not working.,open,2016-10-25,https://github.com/openbmc/openbmc/issues/707,ratagupt
